"species","lon","lat"
"Neovison vison",-7.34,43.3
"Neovison vison",-8.32,43.49
"Neovison vison",-7.73,42.04
"Neovison vison",-4.72,40.86
"Neovison vison",-4.71,40.32
"Neovison vison",-7.61,42.13
"Neovison vison",-7.84,42.85
"Neovison vison",-4.24,40.42
"Neovison vison",-4.83,40.59
"Neovison vison",-8.08,42.76
"Neovison vison",-8.2,43.13
"Neovison vison",-7.95,43.21
"Neovison vison",-7.46,43.21
"Neovison vison",-8.19,43.58
"Neovison vison",2.94,41.78
"Neovison vison",-7.48,42.4
"Neovison vison",-5.1,41.49
"Neovison vison",-5.32,40.94
"Neovison vison",-7.23,42.66
"Neovison vison",-4.59,40.5
"Neovison vison",-4.84,40.86
"Neovison vison",-4.36,40.42
"Neovison vison",-7.71,43.21
"Neovison vison",-7.58,43.21
"Neovison vison",-7.59,42.76
"Neovison vison",-8.08,42.67
"Neovison vison",2.94,41.87
"Neovison vison",-7.33,43.48
"Neovison vison",-9.06,42.77
"Neovison vison",-6.97,43.11
"Neovison vison",-4.95,40.5
"Neovison vison",-4.83,40.5
"Neovison vison",-4.95,40.59
"Neovison vison",2.94,42.32
"Neovison vison",3.06,41.96
"Neovison vison",2.94,41.96
"Neovison vison",3.06,42.32
"Neovison vison",-4.82,40.23
"Neovison vison",3.06,42.05
"Neovison vison",-4.82,40.32
"Neovison vison",2.94,42.05
"Neovison vison",3.18,41.96
"Neovison vison",3.06,42.14
"Neovison vison",3.18,42.05
"Neovison vison",-4.83,40.41
"Neovison vison",2.94,42.14
"Neovison vison",3.06,42.23
"Neovison vison",2.94,42.23
"Neovison vison",-4.94,40.41
"Neovison vison",-5.05,40.14
"Neovison vison",-5.29,40.22
"Neovison vison",-5.06,40.32
"Neovison vison",-5.3,40.4
"Neovison vison",-5.3,40.49
"Neovison vison",-5.18,40.5
"Neovison vison",-5.07,40.5
"Neovison vison",-5.18,40.32
"Neovison vison",-4.94,40.14
"Neovison vison",-5.07,40.59
"Neovison vison",-5.17,40.14
"Neovison vison",-5.05,40.05
"Neovison vison",-4.94,40.32
"Neovison vison",-5.18,40.41
"Neovison vison",-4.73,41.22
"Neovison vison",-5.19,40.59
"Neovison vison",-4.94,40.23
"Neovison vison",-5.06,40.23
"Neovison vison",-5.29,40.31
"Neovison vison",-5.06,40.41
"Neovison vison",-4.13,40.87
"Neovison vison",-3.65,40.42
"Neovison vison",-4.12,40.69
"Neovison vison",-3.41,40.61
"Neovison vison",-4.13,40.96
"Neovison vison",-3.53,40.33
"Neovison vison",-3.65,40.6
"Neovison vison",-4.13,40.78
"Neovison vison",-3.06,40.61
"Neovison vison",-3.65,40.51
"Neovison vison",-3.53,40.42
"Neovison vison",-3.53,40.15
"Neovison vison",-3.77,40.87
"Neovison vison",-3.67,42.32
"Neovison vison",-3.53,40.6
"Neovison vison",-3.54,41.6
"Neovison vison",-3.77,41.05
"Neovison vison",-3.54,42.05
"Neovison vison",-3.77,40.96
"Neovison vison",-3.41,40.43
"Neovison vison",-3.89,40.96
"Neovison vison",-3.67,42.41
"Neovison vison",-3.54,41.69
"Neovison vison",-3.3,41.78
"Neovison vison",-3.42,41.69
"Neovison vison",-3.55,42.23
"Neovison vison",-3.77,41.14
"Neovison vison",-4.13,41.14
"Neovison vison",-4.01,40.78
"Neovison vison",-3.89,41.05
"Neovison vison",-3.55,42.32
"Neovison vison",-3.42,42.05
"Neovison vison",-3.54,41.78
"Neovison vison",-3.42,41.78
"Neovison vison",-3.53,40.24
"Neovison vison",-3.3,41.87
"Neovison vison",-3.3,42.23
"Neovison vison",-3.9,41.32
"Neovison vison",-4.01,41.23
